Name,Age,Investment_Amount,Tenure,Risk_Tolerance,Investment_Type,Return_Amount,Return_Percentage
James Crawford,48,203823,16,High,Stocks,1677645166085.31,170.53
Jennifer Smith,46,800685,27,Moderate,Stocks,5890076016532147.0,131.97
Keith Woodard,20,970521,22,Low,Stocks,638564674367.74,83.85
Wendy Grant,27,899276,6,Moderate,Gold,78302737.57,110.53
Tina Phillips,29,589525,3,Low,FD,867216.12,13.73
Kimberly Brown,50,327094,5,Moderate,FD,3002685.48,55.8
Eric Lam,53,845545,12,Low,Equity,6075519479.91,109.59
Jerry Lewis,26,458189,7,High,FD,27052318.62,79.07
Michael Reeves,50,365681,13,High,Gold,493112048719.77,196.16
Rebecca Smith,38,400239,21,Low,Equity,519918036285.75,95.49
Justin Williams,53,61797,30,High,Stocks,3.6427331785134607e+18,187.75
Joseph Fernandez,36,679051,9,High,FD,1074331935.07,126.71
Peter Terrell,58,998874,30,Moderate,Stocks,2.4954027704194076e+16,122.12
Elizabeth Ortega,56,760903,26,Low,Gold,38452556791828.92,97.83
Cassidy Cunningham,62,566595,11,Low,FD,1456075700.59,104.17
Kathy Chambers,33,324195,15,High,Stocks,5294685492147.68,202.6
Tyler Edwards,34,417120,9,High,FD,615472628.88,124.96
Melissa Henry,54,285117,1,Moderate,Stocks,362896.92,27.28
Michael Vazquez,60,778475,22,Low,Stocks,4824108763822.26,103.58
Dominique Clark,60,579478,26,Moderate,Stocks,4011178936490985.0,139.04
Pamela Braun,46,263908,28,High,Stocks,3.599596021616106e+17,171.26
Cheryl Shaw,51,280186,6,Moderate,Stocks,11138124.47,84.74
Debra Padilla,36,930267,6,Low,Gold,16316844.96,61.19
Melissa Evans,30,393034,18,Moderate,Equity,1695443709666.14,133.67
John Perez,56,569425,24,Moderate,FD,298781445304867.56,130.85
Ian Wilson,58,454919,29,Low,Equity,47642180033310.81,89.04
Bailey Burns,61,88525,4,Moderate,Equity,150672.7,14.22
John Carrillo,34,107700,13,High,FD,140027731598.96,195.33
Troy Butler,60,591884,24,Moderate,FD,210960545807825.84,127.16
Benjamin Woods,30,619126,8,High,Gold,36339519.07,66.37
Linda Taylor,40,73108,19,Low,Stocks,61503265269.42,105.04
Jason Abbott,18,612062,8,Low,FD,24110363.04,58.28
Kara May MD,27,167779,28,High,Equity,1.9736227188792947e+17,169.83
Daniel Golden,54,156475,23,High,Gold,1.4958594247850248e+16,200.2
Haley Taylor,38,111818,21,High,Equity,562418667618472.75,189.72
Brittney Gill,42,478462,3,High,Equity,2452507.67,72.42
Jack Lin,31,441971,23,High,Equity,5.595915968188539e+16,203.89
Linda Willis,53,681653,28,Low,Equity,414116159856554.56,105.92
Andrew Turner,58,591293,16,Moderate,FD,1226397261980.61,148.2
Tina Peterson,39,245441,11,Moderate,Gold,2604148526.76,132.26
Erik Durham,38,628219,30,High,Gold,5.826340049672585e+19,192.13
Travis Petersen,44,227079,1,High,Equity,371932.69,63.79
Jonathan Miller,33,781058,24,High,Equity,2.9094111201425446e+17,203.48
Lori Cannon,23,512627,23,Moderate,Gold,91437362669948.03,128.43
David Rivers,61,257431,24,Low,Stocks,789673672308.73,86.33
David Combs,48,642705,28,Low,Stocks,244293802787218.7,102.5
Jeff Novak,52,598343,29,Low,Gold,213427620342100.6,97.2
Sarah Hill,45,620713,12,Moderate,FD,8549904650.25,121.27
Evan West,19,543940,23,Moderate,Equity,73733008341440.86,125.72
Samuel Benitez,31,173211,15,Low,Stocks,4597370083.62,97.21
Elizabeth Turner,36,665428,9,Low,Gold,77914694.16,69.76
Jessica Hayes,42,847488,6,Low,Equity,11611999.12,54.69
Robert Green II,49,219241,9,Moderate,Gold,114905558.45,100.52
Alfred Adams,21,77386,20,Low,Equity,83781596080.49,100.32
Leroy Medina,19,978643,19,Moderate,Gold,6622316575922.67,128.82
Daniel Ortiz,21,783827,25,Low,Equity,5302275681490.32,87.59
Brenda Gonzales,55,725837,1,Low,Stocks,837035.23,15.32
Gina Nelson,19,896681,4,High,Equity,3229464.42,37.76
Alexa Rivera,59,776774,16,Low,FD,32078725769.31,94.31
Ashley Burton,47,642915,27,Moderate,Equity,2.9172023959613024e+16,148.14
Sean Gibson,23,338054,22,Moderate,FD,87195581277797.03,141.18
Clinton Davis,59,153167,16,Low,Gold,2387396508.19,82.83
Tyler Monroe,34,682782,11,Moderate,Equity,13426443419.83,145.66
Mary Smith,61,727510,2,Low,Gold,1388684.59,38.16
Patrick Johnson,30,405376,1,High,Gold,599956.48,48.0
Debra Mckee,55,618061,15,Low,Equity,10867695801.21,91.87
Kristen Jackson MD,43,254857,3,High,Equity,1414918.84,77.07
Rebecca Gallegos,44,247282,16,Low,Stocks,21123097912.98,103.34
Cheryl Wright,37,302123,5,Low,Equity,1604680.18,39.65
John Rodriguez,37,913155,14,Moderate,Equity,302455256281.38,147.91
Thomas Porter,24,830135,29,Moderate,Gold,1.1512010612493776e+16,123.73
Sherry Simmons,58,609499,28,Moderate,FD,2.123654608791768e+16,137.96
Scott Hansen,30,342798,23,Moderate,Equity,29059601107453.37,121.16
Ernest Fisher,63,523882,25,Moderate,Stocks,1162709387913857.8,136.51
Alyssa Jones,25,118928,5,High,Equity,857114.5,48.44
Angel Wright,55,191053,5,Moderate,Gold,312477.51,10.34
Lauren Hodges,20,888149,6,Low,Equity,20212022.28,68.34
Mr. Michael Stewart,49,619537,19,High,Stocks,88746842562151.03,168.7
Elizabeth Barrett,39,687439,21,High,FD,1639988703555194.5,179.61
Alexis Skinner,45,104096,12,Moderate,Stocks,1946637752.6,126.98
Joshua Reilly,45,975182,8,High,Stocks,75396442.28,72.2
Ralph Smith,47,999201,17,Moderate,Stocks,3586374826878.44,142.99
Jennifer Sanchez,36,347901,18,High,Stocks,15256160746261.36,165.8
Felicia King,59,623112,24,Moderate,Gold,107558386670146.27,120.4
Joshua Smith,25,254828,4,Moderate,FD,1829066.99,63.68
Alexis Navarro,31,487058,14,Moderate,Stocks,167724467361.0,148.6
Tami Peck,27,383206,24,Moderate,Gold,1077967597911841.2,147.58
Tina Haynes,36,175108,11,High,Equity,92445542858.87,231.31
Debbie Parsons,47,778521,20,Moderate,Equity,20734442445692.34,135.11
Karen Mckay,50,861222,16,Low,Equity,84707279562.13,105.14
Dwayne Wilson,36,462825,15,Moderate,Gold,325441740887.14,145.36
Erin Maldonado,65,645446,24,High,Gold,2.344929144412098e+16,175.43
Julia Taylor,24,465998,13,High,FD,2425998364892.14,228.59
Gary Snyder,22,590105,26,Low,Stocks,3994320625352.08,83.11
Matthew Fleming,30,580715,21,Moderate,Equity,16320808959227.04,126.31
Lee Carroll,51,755070,18,Moderate,Gold,4718037220130.42,138.53
Stephen Carlson,41,354944,2,High,Equity,507972.32,19.63
John Hoover,48,128276,26,Moderate,Stocks,243882073790912.2,127.45
Chad Carlson,62,492285,10,Low,FD,46534894.59,57.6
John Watkins,50,391085,7,High,Gold,172172677.89,138.6
Lynn Johnson,25,554323,10,High,Gold,398117259.15,93.03
John Duarte,61,374346,28,Moderate,Gold,2.1165550705494428e+16,142.11
Rachel Buckley,18,411850,23,High,Equity,1.1473512739496085e+17,214.49
Jerry Medina,29,66279,26,Low,Equity,298803633545.52,80.27
Andrew Frey,25,226764,22,High,Gold,1.0355747341792142e+16,205.16
Jessica Johnson,18,957844,15,Moderate,Stocks,339358626410.44,134.4
Virginia Powell,34,984847,28,Moderate,FD,6.38774861364723e+16,143.3
Andrea Sandoval,46,987487,30,Moderate,Equity,3.095098832388726e+17,141.66
Mary Carter,50,685567,5,High,Equity,4265525.01,44.14
Candace Patterson,31,939789,10,Low,Gold,271999443.36,76.26
Amy Singh,23,920355,2,High,Gold,2868737.56,76.55
Jodi Ryan,25,347098,7,Moderate,Stocks,6227263.15,51.05
Mr. Wayne Thompson,48,595615,16,High,Equity,2182885126134.12,157.19
Derrick Patterson,24,797863,28,Moderate,Gold,4.188875230919189e+16,141.47
Lauren Summers,50,487735,3,High,Stocks,2513111.8,72.72
